         50247 function calls (50245 primitive calls) in 190.815 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      244    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
      243    0.000    0.000    0.000    0.000 parsers.py:654(_is_index_col)
       81    0.000    0.000    0.000    0.000 parsers.py:682(_has_complex_date_col)
       81    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      171    0.000    0.000    0.000    0.000 internals.py:96(dtype)
      337    0.000    0.000    0.000    0.000 internals.py:555(_get_items)
       81    0.000    0.000    0.000    0.000 threading.py:983(ident)
       81    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       89    0.000    0.000    0.000    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {pandas.lib.list_to_object_array}
        4    0.000    0.000    1.387    0.347 common.py:57(_isnull_new)
       85    0.000    0.000    0.000    0.000 {iter}
       81    0.000    0.000    0.000    0.000 <string>:8(__new__)
        2    0.000    0.000    0.000    0.000 internals.py:1107(reindex_items)
       81    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
       81    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      162    0.000    0.000    0.000    0.000 parsers.py:1004(<genexpr>)
      162    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       81    0.000    0.000    0.000    0.000 {max}
       81    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
      162    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       81    0.000    0.000    0.000    0.000 parsers.py:1540(_make_date_converter)
      166    0.000    0.000    0.000    0.000 {time.time}
       81    0.000    0.000    0.000    0.000 merge.py:1177(_maybe_check_integrity)
        6    0.000    0.000    0.990    0.165 _methods.py:16(_sum)
        1    0.000    0.000    1.035    1.035 nanops.py:104(_nanmean)
        6    0.000    0.000    0.000    0.000 common.py:916(_asarray_tuplesafe)
      162    0.000    0.000    0.000    0.000 {any}
       81    0.000    0.000    0.000    0.000 {thread.get_ident}
        4    0.000    0.000    0.000    0.000 frame.py:1692(as_matrix)
       81    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    1.064    1.064 frame.py:2876(take)
        3    0.000    0.000    0.000    0.000 frame.py:1941(__getitem__)
        1    0.000    0.000    0.256    0.256 series.py:140(wrapper)
       81    0.000    0.000    0.000    0.000 frame.py:455(_init_mgr)
       81    0.000    0.000    0.000    0.000 {method 'close' of '_io.StringIO' objects}
        4    0.000    0.000    0.000    0.000 frame.py:2040(__getattr__)
        2    0.000    0.000    0.000    0.000 series.py:332(__new__)
        6    0.000    0.000    0.990    0.165 {method 'sum' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.239    0.120 common.py:702(_default_index)
        2    0.000    0.000    0.000    0.000 index.py:830(_possibly_promote)
        1    0.000    0.000    0.698    0.698 function_base.py:3633(append)
        2    0.000    0.000    0.000    0.000 index.py:772(get_indexer)
        2    0.000    0.000    0.000    0.000 index.py:269(is_unique)
       81    0.000    0.000    0.000    0.000 hmac.py:27(__init__)
       81    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.641    0.641 index.py:412(take)
        1    0.000    0.000    1.535    1.535 series.py:1375(std)
        2    0.000    0.000    0.239    0.120 frame.py:519(_init_ndarray)
        1    0.000    0.000    0.423    0.423 common.py:394(take_2d)
        3    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        2    0.000    0.000    0.000    0.000 frame.py:5414(_prep_ndarray)
        4    0.000    0.000    0.000    0.000 series.py:1170(values)
        2    0.000    0.000    0.000    0.000 {method 'get_indexer' of 'pandas.index.IndexEngine' objects}
        4    0.000    0.000    1.387    0.347 common.py:42(isnull)
        1    0.000    0.000    0.000    0.000 internals.py:533(is_mixed_dtype)
        2    0.000    0.000    0.000    0.000 internals.py:1483(_consolidate)
        2    0.000    0.000    0.000    0.000 internals.py:1145(_make_na_block)
        3    0.000    0.000    0.000    0.000 nanops.py:456(_ensure_numeric)
       87    0.000    0.000    0.000    0.000 {hash}
        1    0.000    0.000    0.114    0.114 nanops.py:362(_get_counts)
        2    0.000    0.000    0.000    0.000 common.py:740(_try_sort)
        4    0.000    0.000    0.000    0.000 {pandas.lib.isscalar}
      162    0.000    0.000    0.000    0.000 {id}
        2    0.000    0.000    0.256    0.128 series.py:123(na_op)
        2    0.000    0.000    4.676    2.338 series.py:311(f)
        4    0.000    0.000    0.000    0.000 {pandas.tslib.is_timestamp_array}
       81    0.000    0.000    0.000    0.000 index.py:859(_array_values)
        2    0.000    0.000    0.000    0.000 index.py:872(reindex)
        3    0.000    0.000    0.000    0.000 generic.py:529(_get_item_cache)
        1    0.000    0.000    0.000    0.000 internals.py:1015(_find_block)
       81    0.000    0.000    0.000    0.000 py3compat.py:13(no_code)
        2    0.000    0.000    0.000    0.000 generic.py:47(_get_axis_name)
        3    0.000    0.000    0.000    0.000 series.py:461(__array_finalize__)
        1    0.000    0.000    0.075    0.075 fromnumeric.py:1087(ravel)
        2    0.000    0.000    0.000    0.000 {pandas.lib.fast_unique_multiple}
        2    0.000    0.000    0.000    0.000 _methods.py:24(_any)
        4    0.000    0.000    0.000    0.000 internals.py:752(as_matrix)
        1    0.000    0.000    0.000    0.000 index.py:1261(_constructor)
        2    0.000    0.000    0.000    0.000 index.py:710(get_loc)
        2    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 common.py:969(is_float)
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 common.py:660(_infer_dtype)
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 internals.py:883(get)
        4    0.000    0.000    0.000    0.000 index.py:216(dtype)
        4    0.000    0.000    0.000    0.000 urlparse.py:68(clear_cache)
        2    0.000    0.000    0.000    0.000 generic.py:58(_get_axis)
        1    0.000    0.000    0.000    0.000 internals.py:159(get)
        1    0.000    0.000    0.000    0.000 frame.py:2033(_box_item_values)
        1    0.000    0.000    0.000    0.000 numeric.py:322(asanyarray)
        2    0.000    0.000    0.000    0.000 index.py:862(_get_method)
        2    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 index.py:1269(is_all_dates)
        1    0.000    0.000    0.000    0.000 frame.py:4972(_get_agg_axis)
        2    0.000    0.000    0.000    0.000 frame.py:1795(__array__)
        2    0.000    0.000    0.000    0.000 internals.py:1487(<lambda>)
        3    0.000    0.000    0.000    0.000 {pandas.algos.ensure_platform_int}
        1    0.000    0.000    0.000    0.000 {pandas.index.convert_scalar}
        1    0.000    0.000    0.000    0.000 series.py:396(from_array)
        2    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas.index.IndexEngine' objects}
        2    0.000    0.000    0.000    0.000 index.py:304(inferred_type)
        2    0.000    0.000    0.000    0.000 internals.py:1491(<lambda>)
        2    0.000    0.000    0.000    0.000 internals.py:1503(_merge_blocks)
        1    0.000    0.000    0.000    0.000 internals.py:74(__contains__)
        1    0.000    0.000    0.000    0.000 common.py:298(_get_take2d_function)
        1    0.000    0.000    0.000    0.000 internals.py:1021(_check_have)
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {pandas.algos.ensure_int64}
        4    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 series.py:416(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
