         24731 function calls (24730 primitive calls) in 244.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 session.py:82(<lambda>)
        2    0.000    0.000    0.000    0.000 inspect.py:472(getmodule)
        2    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        1    0.000    0.000    0.000    0.000 session.py:195(extract_header)
        3    0.000    0.000    0.000    0.000 threading.py:1024(daemon)
        2    0.000    0.000    0.000    0.000 {imp.get_suffixes}
        2    0.000    0.000    0.000    0.000 re.py:226(_compile)
        4    0.000    0.000    0.000    0.000 inspect.py:59(isclass)
        1    0.000    0.000    0.000    0.000 iostream.py:82(_is_master_thread)
       52    0.000    0.000    0.000    0.000 {method 'span' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 frame.py:5414(_prep_ndarray)
        1    0.000    0.000    0.000    0.000 uuid.py:197(__str__)
        1    0.000    0.000    3.582    3.582 frame.py:4806(median)
        3    0.000    0.000    0.000    0.000 {pandas.lib.isscalar}
        3    0.000    0.000    0.000    0.000 frame.py:4972(_get_agg_axis)
        1    0.000    0.000    1.592    1.592 frame.py:4832(var)
        3    0.000    0.000    0.000    0.000 __init__.py:1139(info)
        3    0.000    0.000    0.000    0.000 index.py:304(inferred_type)
        2    0.000    0.000    0.000    0.000 common.py:681(_is_bool_indexer)
        1    0.000    0.000    0.000    0.000 {posix.putenv}
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    1.034    0.345 common.py:42(isnull)
        3    0.000    0.000    0.000    0.000 {gc.enable}
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        2    0.000    0.000    0.000    0.000 re.py:188(compile)
        3    0.000    0.000    0.000    0.000 {_struct.unpack}
        3    0.000    0.000    0.000    0.000 pp.py:775(__add_to_active_tasks)
        4    0.000    0.000    0.000    0.000 inspect.py:181(istraceback)
       12    0.000    0.000    0.000    0.000 threading.py:58(__init__)
        3    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 iostream.py:218(_new_buffer)
        2    0.000    0.000    0.000    0.000 linecache.py:33(getlines)
        3    0.000    0.000    0.000    0.000 threading.py:541(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:1549(getLogger)
        1    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
        2    0.000    0.000    0.000    0.000 internals.py:1487(<lambda>)
       10    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:186(release)
        2    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 common.py:660(_infer_dtype)
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 jsonutil.py:94(date_default)
        6    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
        4    0.000    0.000    0.000    0.000 hmac.py:80(update)
        3    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
        5    0.000    0.000    0.000    0.000 {pandas.algos.ensure_object}
        3    0.000    0.000    0.000    0.000 threading.py:296(_acquire_restore)
        1    0.000    0.000    0.000    0.000 hmac.py:116(hexdigest)
        1    0.000    0.000    0.000    0.000 index.py:311(is_all_dates)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 frame.py:1795(__array__)
        7    0.000    0.000    0.000    0.000 {posix.getpid}
        1    0.000    0.000    0.000    0.000 ppauto.py:49(__init__)
        1    0.000    0.000    0.000    0.000 {locals}
        1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 threading.py:983(ident)
        1    0.000    0.000    0.000    0.000 os.py:470(__setitem__)
        1    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 internals.py:1503(_merge_blocks)
        4    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        6    0.000    0.000    0.000    0.000 {iter}
        2    0.000    0.000    0.000    0.000 inspect.py:634(__init__)
        6    0.000    0.000    0.000    0.000 inspect.py:191(isframe)
        4    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method 'copy' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        8    0.000    0.000    0.000    0.000 inspect.py:51(ismodule)
        1    0.000    0.000    0.000    0.000 __init__.py:210(_acquireLock)
        3    0.000    0.000    0.000    0.000 threading.py:293(_release_save)
        3    0.000    0.000    0.000    0.000 {gc.isenabled}
        4    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.000    0.000 {max}
